Country,ISO,Total,Coal,Oil,Gas,Cement,Flaring,Other
Switzerland,CHE,4.019107,0.047549,2.924785,0.831828,0.193208,0.003037,0.0187
Syria,SYR,1.266193,0.000119,0.81765,0.320633,0.036033,0.091758,
Taiwan,TWN,11.854867,6.491521,2.762183,2.308715,0.245175,0.005655,0.041618
Tajikistan,TJK,1.060138,0.531791,0.285824,0.031909,0.210614,0.0,
Thailand,THA,3.889545,0.986674,1.518872,1.080827,0.295402,0.00777,
Timor-Leste,TLS,0.557426,0.0,0.496403,0.0,0.0,0.061023,
Togo,TGO,0.270916,0.0,0.147997,0.025517,0.097401,0.0,
Tonga,TON,1.649345,0.0,1.649345,0.0,0.0,0.0,
Trinidad and Tobago,TTO,23.677599,0.0,2.016713,21.305957,0.172285,0.182644,
Tunisia,TUN,2.575462,0.0,1.155178,1.115694,0.262842,0.041749,
Turkey,TUR,5.263368,1.917565,1.39616,1.349392,0.523674,0.002303,0.074275
Turkmenistan,TKM,13.088727,0.0,3.236365,9.265475,0.240093,0.346794,
Turks and Caicos Islands,TCA,7.562677,0.0,7.562677,0.0,0.0,0.0,
Tuvalu,TUV,0.7094,0.0,0.7094,0.0,0.0,0.0,
Uganda,UGA,0.126063,0.0,0.113376,0.0,0.012687,0.0,
Ukraine,UKR,4.637058,2.339223,0.837403,1.242234,0.10157,0.052927,0.063701
United Arab Emirates,ARE,21.792151,0.714923,6.389958,13.90118,0.611617,0.174473,
United Kingdom,GBR,5.1541,0.352101,2.290553,2.3612,0.057961,0.051632,0.040652
Tanzania,TZA,0.205366,0.031188,0.101726,0.032757,0.039695,0.0,
USA,USA,14.858668,2.974205,6.628469,4.857715,0.122265,0.200845,0.075169
Uruguay,URY,1.966539,0.000552,1.834908,0.046259,0.084819,0.0,
Uzbekistan,UZB,3.568847,0.237196,0.346405,2.822092,0.137291,0.025863,
Vanuatu,VUT,0.547911,0.0,0.547911,0.0,0.0,0.0,
Venezuela,VEN,2.827907,0.001283,1.071702,1.146074,0.062923,0.545925,
Viet Nam,VNM,3.344827,2.016234,0.621885,0.140346,0.555266,0.011096,
Wallis and Futuna Islands,WLF,2.392571,0.0,2.392571,0.0,0.0,0.0,
Yemen,YEM,0.378289,0.007456,0.290844,0.006264,0.02012,0.053605,
Zambia,ZMB,0.394194,0.126514,0.21833,0.0,0.049349,0.0,
Zimbabwe,ZWE,0.706293,0.451784,0.218894,0.0,0.035615,0.0,
