country,date,consumer confidence,interest rates,unemployment rate
europe,2023-02-01,-19.0,3.5,6.6
europe,2023-03-01,-19.1,3.5,6.5
europe,2023-04-01,-17.5,3.75,6.5
europe,2023-05-01,-17.4,3.75,6.5
europe,2023-06-01,-16.1,4.0,6.5
europe,2023-07-01,-15.2,4.25,6.5
europe,2023-08-01,-16.0,4.25,6.5
europe,2023-09-01,-17.7,4.5,6.5
europe,2023-10-01,-17.9,4.5,6.5
europe,2023-11-01,-17.0,4.5,6.5
europe,2023-12-01,-15.1,4.5,6.5
japan,2020-01-01,39.1,-0.1,2.4
japan,2020-02-01,38.4,-0.1,2.4
japan,2020-03-01,30.9,-0.1,2.5
japan,2020-04-01,21.6,-0.1,2.6
japan,2020-05-01,24.0,-0.1,2.8
japan,2020-06-01,28.4,-0.1,2.8
japan,2020-07-01,29.5,-0.1,2.9
japan,2020-08-01,29.3,-0.1,3.0
japan,2020-09-01,32.7,-0.1,3.0
japan,2020-10-01,33.6,-0.1,3.1
japan,2020-11-01,33.7,-0.1,3.0
japan,2020-12-01,31.8,-0.1,3.0
japan,2021-01-01,29.6,-0.1,2.9
japan,2021-02-01,33.8,-0.1,2.9
japan,2021-03-01,36.1,-0.1,2.6
japan,2021-04-01,34.7,-0.1,2.8
japan,2021-05-01,34.1,-0.1,3.0
japan,2021-06-01,37.4,-0.1,2.9
japan,2021-07-01,37.5,-0.1,2.8
japan,2021-08-01,36.7,-0.1,2.8
japan,2021-09-01,37.8,-0.1,2.8
japan,2021-10-01,39.2,-0.1,2.7
japan,2021-11-01,39.2,-0.1,2.8
japan,2021-12-01,39.1,-0.1,2.7
japan,2022-01-01,36.7,-0.1,2.8
japan,2022-02-01,35.3,-0.1,2.7
japan,2022-03-01,32.8,-0.1,2.6
japan,2022-04-01,33.0,-0.1,2.5
japan,2022-05-01,34.1,-0.1,2.6
japan,2022-06-01,32.1,-0.1,2.6
japan,2022-07-01,30.2,-0.1,2.6
japan,2022-08-01,32.5,-0.1,2.5
japan,2022-09-01,30.8,-0.1,2.6
japan,2022-10-01,29.9,-0.1,2.6
japan,2022-11-01,28.6,-0.1,2.5
japan,2022-12-01,30.3,-0.1,2.5
japan,2023-01-01,31.0,-0.1,2.4
japan,2023-02-01,31.1,-0.1,2.6
japan,2023-03-01,33.9,-0.1,2.8
japan,2023-04-01,35.4,-0.1,2.6
japan,2023-05-01,36.0,-0.1,2.6
japan,2023-06-01,36.2,-0.1,2.5
japan,2023-07-01,37.1,-0.1,2.7
japan,2023-08-01,36.2,-0.1,2.7
japan,2023-09-01,35.2,-0.1,2.6
japan,2023-10-01,35.7,-0.1,2.5
japan,2023-11-01,36.1,-0.1,2.5
japan,2023-12-01,37.2,-0.1,2.4
new zealand,2020-01-01,104.2,1.0,4.2
new zealand,2020-02-01,104.2,1.0,4.2
new zealand,2020-03-01,104.2,1.0,4.2
new zealand,2020-04-01,97.2,0.25,4.0
new zealand,2020-05-01,97.2,0.25,4.0
new zealand,2020-06-01,97.2,0.25,4.0
new zealand,2020-07-01,95.1,0.25,5.3
new zealand,2020-08-01,95.1,0.25,5.3
new zealand,2020-09-01,95.1,0.25,5.3
new zealand,2020-10-01,106.0,0.25,4.9
new zealand,2020-11-01,106.0,0.25,4.9
new zealand,2020-12-01,106.0,0.25,4.9
new zealand,2021-01-01,105.2,0.25,4.7
new zealand,2021-02-01,105.2,0.25,4.7
new zealand,2021-03-01,105.2,0.25,4.7
new zealand,2021-04-01,107.1,0.25,4.0
new zealand,2021-05-01,107.1,0.25,4.0
new zealand,2021-06-01,107.1,0.25,4.0
new zealand,2021-07-01,102.7,0.25,3.4
new zealand,2021-08-01,102.7,0.25,3.4
new zealand,2021-09-01,102.7,0.25,3.4
new zealand,2021-10-01,99.1,0.25,3.2
