duration,comments,latitude,longitude,year
300.0,There were orange lights in the sky. The ones in the front formed a triangle v formation and there were several bright orange lights/,41.2616667,-75.8972222,2012
120.0,Bright red Diamond shaped object and fog ball object,37.6391667,-120.9958333,2012
60.0,Me and some friends were in northside in fort worth TX&#44  going home when we seen what look liked 2 fireballs coming down fast&#44  we all,32.7252778,-97.3205556,2012
900.0,Photo of an orange&#44 egg shaped light&#44 moving in a constant deliberate manner on a south to north course near Centralia&#44 Washington.,46.7163889,-122.9530556,2012
180.0,Cluster sighting of UFO north of Sierra Madre&#44 CA over the San Gabriel mountains.,34.1616667,-118.0519444,2012
60.0,A black cylindrical object seen fairly close to an airplane during daytime,35.7719444,-78.6388889,2012
900.0,My girlfriend and I were at the East Beach in Santa Barbara adjacent to Cabrillo Beach House and Grill. We were both lying face-up and,34.4208333,-119.6972222,2012
30.0,Classic five lighted triangle shaped UFO sighting,40.3977778,-105.0744444,2012
300.0,Large orange light Newburgh&#44 IN 10/14/12,37.9444444,-87.4052778,2012
600.0,Several multi-colored lights seen hovering over Elmore City/Pauls Valley area. Sometimes a white one shows up as well.,34.6227778,-97.3961111,2012
600.0,3 Unknown objects W NW of Canyon Lake&#44 CA,33.685,-117.2722222,2012
180.0,Bright white light moving fast toward trees,40.0977778,-74.2180556,2012
10.0,Bright light coming down at 45 degree angle northeast of Toms River NJ 10/14 @ 9:45 PM,39.9536111,-74.1983333,2012
1.5,I never saw anything like it in  my life.  It was no shooting star.,41.0886111,-74.0138889,2012
20.0,Black triangle&#44 white lights&#44 three&#44 night&#44 clear&#44 many stars&#44 slow&#44 afraid,32.7763889,-79.9311111,2012
600.0,UFO sightings every day in Hartland WI,43.105,-88.3419444,2012
300.0,2 orbs of light over eighth street foot hills.,43.6136111,-116.2025,2012
300.0,Bright orange light with no sound.,39.6416667,-77.7202778,2012
300.0,Tooele&#44 object over mouantains disapears.,40.5308333,-112.2975,2012
60.0,A cluster of 10-12 metal orb-like objects hovering above the street.,38.6272222,-90.1977778,2012
300.0,Three orange&#44 oddly moving lights in the shape of a giant triangle seen over Waukesha Co.,43.1788889,-88.1172222,2012
4.0,Rounded in the front&#44 had steady speed&#44 looked flat in shape. Had blue haze around it. Made no noise&#44 but not going fast enough or flyi,32.2530556,-93.1655556,2012
30.0,One becomes three three becomes six.,45.5608333,-94.1622222,2012
5.0,White teardrop light came out of nowhere and disappeared right over LAKE AVE.,43.1547222,-77.6158333,2012
900.0,Slowly flashing white light in space or possibly low earth orbit.,26.9616667,-82.3527778,2012
120.0,Strange lights observed at Castle Mountain area of Gunnison,38.5458333,-106.9247222,2012
420.0,Silver&#44 slowly rotating&#44 pole shaped object - broad daylight,36.3133333,-82.3536111,2012
1200.0,Metallic cylindrical object seen hovering over Johnson City&#44 TN.,36.3133333,-82.3536111,2012
600.0,Sphere observed in Frying Pan section of Russell Co&#44 VA,36.9052778,-82.3111111,2012
360.0,10-23-2012 Burlington Iowa  multiple traingular and saucer shape ufos seen over Mississippi river on 10-16-2012 at 15:30,40.8075,-91.1127778,2012
60.0,Strange object in the sky following a plane.,41.8713889,-72.3691667,2012
300.0,I was outside in the parking lot in jamaicaplain neibourhood.It was 7:05pm and it was dark.Accidentally i saw in the sky and the sky wa,42.3583333,-71.0602778,2012
30.0,Yellow orangish lights.,40.3744444,-76.3030556,2012
40.0,Orange glowing sphere seen by 4 adults in East Orlando.,28.5380556,-81.3794444,2012
20.0,Triangular Shaped Craft over Wrightville Beach&#44 North Carolina,34.2083333,-77.7966667,2012
60.0,2 Orange fireballs floating quickly down rte 5,44.5336111,-72.0036111,2012
30.0,Huge&#44 quiet object over central Ohio,40.805,-81.9352778,2012
